"30","9","27","2006-01-15 00:00:00","2006-01-22 00:00:00","2","Karen Toh","789 27th Street","Las Vegas","NV","99999","USA","200.0000","0.0000","Check","2006-01-15 00:00:00",\N,"0",\N,"3"
"31","3","4","2006-01-20 00:00:00","2006-01-22 00:00:00","1","Christina Lee","123 4th Street","New York","NY","99999","USA","5.0000","0.0000","Credit Card","2006-01-20 00:00:00",\N,"0",\N,"3"
"32","4","12","2006-01-22 00:00:00","2006-01-22 00:00:00","2","John Edwards","123 12th Street","Las Vegas","NV","99999","USA","5.0000","0.0000","Credit Card","2006-01-22 00:00:00",\N,"0",\N,"3"
"33","6","8","2006-01-30 00:00:00","2006-01-31 00:00:00","3","Elizabeth Andersen","123 8th Street","Portland","OR","99999","USA","50.0000","0.0000","Credit Card","2006-01-30 00:00:00",\N,"0",\N,"3"
"34","9","4","2006-02-06 00:00:00","2006-02-07 00:00:00","3","Christina Lee","123 4th Street","New York","NY","99999","USA","4.0000","0.0000","Check","2006-02-06 00:00:00",\N,"0",\N,"3"
"35","3","29","2006-02-10 00:00:00","2006-02-12 00:00:00","2","Soo Jung Lee","789 29th Street","Denver","CO","99999","USA","7.0000","0.0000","Check","2006-02-10 00:00:00",\N,"0",\N,"3"
"36","4","3","2006-02-23 00:00:00","2006-02-25 00:00:00","2","Thomas Axen","123 3rd Street","Los Angelas","CA","99999","USA","7.0000","0.0000","Cash","2006-02-23 00:00:00",\N,"0",\N,"3"
"37","8","6","2006-03-06 00:00:00","2006-03-09 00:00:00","2","Francisco Pérez-Olaeta","123 6th Street","Milwaukee","WI","99999","USA","12.0000","0.0000","Credit Card","2006-03-06 00:00:00",\N,"0",\N,"3"
"38","9","28","2006-03-10 00:00:00","2006-03-11 00:00:00","3","Amritansh Raghav","789 28th Street","Memphis","TN","99999","USA","10.0000","0.0000","Check","2006-03-10 00:00:00",\N,"0",\N,"3"
"39","3","8","2006-03-22 00:00:00","2006-03-24 00:00:00","3","Elizabeth Andersen","123 8th Street","Portland","OR","99999","USA","5.0000","0.0000","Check","2006-03-22 00:00:00",\N,"0",\N,"3"
"40","4","10","2006-03-24 00:00:00","2006-03-24 00:00:00","2","Roland Wacker","123 10th Street","Chicago","IL","99999","USA","9.0000","0.0000","Credit Card","2006-03-24 00:00:00",\N,"0",\N,"3"
"41","1","7","2006-03-24 00:00:00",\N,\N,"Ming-Yang Xie","123 7th Street","Boise","ID","99999","USA","0.0000","0.0000",\N,\N,\N,"0",\N,"0"
